nation,eclatement_ar_date,eclatement_ar_titre,experience_parlementaire_date,experience_parlementaire_titre,phase_aigue_date,phase_aigue_titre,moment_thermidorien_date,moment_thermidorien_titre,emergence_ir_date,emergence_ir_titre,restauration_date,restauration_titre,glorieuse_revolution_date,glorieuse_revolution_titre,avortement_date,avortement_titre,notes
angleterre,1640–1642,Guerre civile,1640–1648,Long Parlement,1648–1649,Exécution de Charles Ier,1653,Dissolution du Rump,1653,Protectorat,1660,Déclaration de Breda,1688,Bill of Rights,,,"RN 1642-1688, unique, complète et canonique (~46 ans, dans la norme). Matrice du modèle RN du corpus : les 7 saillants présents. Aucun avortement."
athenes,-510,Chute d'Hippias,-508,Clisthène,-508,Insurrection contre Isagoras,-507,Démocratie modérée,-483,Salamine et l'exil perse,-471,Cimon,-461,Réforme de l'Aréopage,,,"RN -510/-461, unique, complète et canonique (~49 ans). Seule RN antique du corpus. IR = Thémistocle (arc napoléonien, exil perse). La RN n'avorte pas ; c'est l'ENP qui sera avortée bien plus tard (guerre lamiaque -322, hors périmètre RN). Confidence medium."
autriche,1918,République d'Autriche allemande,1919–1933,Première République,1933–1934,Austrofascisme et guerre civile,1934–1938,Ständestaat,1938,Anschluss,1945–1955,Restauration,1955,Staatsvertrag et neutralité,,,"RN 1918-1955, unique, complète (~37 ans). IR partagé avec le Parcours allemand (Hitler né autrichien, via l'Anschluss ; hypothèse v7 controversée, confidence medium). Restauration = sous-phase sans bloc saillant dédié (date/titre repris de la sous-phase)."
baviere,1918,7 novembre 1918,1919,État libre de Bavière,1919,République des Conseils,,,,,,,,,1919,Écrasement (Reichswehr),"RN AVORTÉE 1918-1919. Atteint seulement les saillants 1-3 ; le moment thermidorien est dit « implicite » sans bloc saillant (laissé vide). Avortement par choc exogène (Reichswehr + Freikorps, mai 1919), puis absorption dans la RN allemande synchrone."
emilie-romagne,1796,"Armistice de Bologne, République Cispadane",1796–1797,Première constitution jacobine d'Italie,1797–1798,Courant unitaire des jacobins italiens,1798,Purge des jacobins radicaux par le tuteur français,1805,Royaume d'Italie,1815,Tripartition restaurée,1831 ; 1848,"Menotti / sécession des Légations (1831) ; Otto Agosto (1848) — deux GR Mode B, avortées",1831 ; 1848–1849,Intervention autrichienne (1831) ; défaite Custoza-Novare (1848-49),"RN 1796-1860, unique, longue et diffractée (~64 ans). Phase aiguë et thermidorien exogènes (exécutés par le tuteur français). IR et Restauration EXOGÈNES (Napoléon 1805 ; souverains étrangers 1815-1860). Pas de GR endogène : deux GR Mode B (1831, 1848) avortées, puis fin par fusion-absorption italienne (1860). Confidence medium."
france,1789,Prise de la Bastille,1789–1791,Constitution de 1791,1792–1794,La Terreur,1794,9 Thermidor,1799,18 Brumaire,1815,Charte de 1814,1830,Trois Glorieuses,,,"RN unique 1789-1830 (~41 ans, dans la norme). Cas de référence : les 7 étapes canoniques toutes présentes et non avortées. Sortie en phase parlementaire (1830)."
espagne,1931,Chute de la monarchie,1931–1936,Seconde République,1936–1939,Guerre civile,,,1939–1975,Franco,,,1978,Transition démocratique,,,"RN unique 1931-1978 (~47 ans), non avortée, aboutie en phase parlementaire. Moment thermidorien absent (Franco émerge directement de la phase aiguë). Pas de saillant Restauration distinct : Franco cumule IR et Restauration (cas nouveau). Confidence medium."
etats-pontificaux,1798,Proclamation de la République romaine,1798–1799,République romaine (1re),1798–1799,Déportation et mort à Valence,,,,,,,,,1799,"Reconquête napolitaine (Armée de la Sainte Foi, cardinal Ruffo)","RN 1/2. Avortée dès la révolution initiale par reconquête napolitaine (choc exogène). Seuls Éclatement, Exp. parlementaire, Phase aiguë. Suivie d'un AR exogène (1800-1848). Confidence medium."
etats-pontificaux,1848,"Statuto, Non semel, Rossi, Gaète",1849,République romaine,1849,Défense de Rome,,,,,,,,,1849,Écrasement par Oudinot (expédition française),"RN 2/2. Éclatement endogène (Statuto, assassinat Rossi, fuite de Pie IX à Gaète). Avortée par l'expédition française d'Oudinot. Mêmes 3 saillants. Suivie d'un 2e AR exogène (1850-1870) clos par la Prise de Rome (1870, fin du Parcours)."
florence,1807,"Annexion à l'Empire français, départementalisation",,,,,,,1807–1814,Élisa Bonaparte grande-duchesse (IR exogène napoléonien),1814,Retour des Habsbourg-Lorraine (Ferdinand III),1848–1849,Statuto fondamentale puis triumvirat Guerrazzi (avorté),1849,Avortement de la GR — intervention autrichienne,"RN unique 1807-1860 (~53 ans). Révolution initiale entièrement EXOGÈNE (Éclatement et IR téléscopés en 1807) : Exp. parlementaire, Phase aiguë, Thermidorien structurellement ABSENTS. IR exogène (Élisa Bonaparte). Restauration canonique (1814). GR (Statuto 1848) avortée par intervention autrichienne (1849). Résolution par fusion italienne (1860). Confidence medium."
genes,1797,Émeute jacobine et imposition par Bonaparte (République ligurienne),1797–1802,Constitutions de la République ligurienne,,,,,1805–1814,Annexion à l'Empire français (IR exogène napoléonien),1815,"Congrès de Vienne, Duché de Gênes (intégration au Royaume de Sardaigne)",1848,Statut Albertin (GR par élargissement piémontais),1849,Avortement de la GR — écrasement de Gênes par La Marmora,"RN unique 1797-1861 (~64 ans). Exp. parlementaire compressée sous tutelle française ; Phase aiguë et Thermidorien ABSENTS. IR exogène (annexion 1805). Restauration = intégration sarde (1815). GR (Statut Albertin 1848) avortée par La Marmora (1849), puis Restauration exogène durcie (1849-1861). Résolution par fusion italienne (1861). Confidence medium."
hongrie,1848,Révolution de mars et April Laws,1848,Gouvernement Batthyány,1849,Déclaration d'indépendance de Debrecen,,,,,1849,"Világos, Terreur blanche, restauration habsbourgeoise (exogène)",,,1867,"Ausgleich (reboot d'AR, choc d'hétérogénéité)","RN #1 (1848-1867). HONGRIE EN DÉBAT ACTIF — ne pas invoquer comme référence canonique. Révolution initiale écrasée à Világos 1849 (pas de thermidorien), puis Restauration EXOGÈNE (occupation Bach 1849-1867) déviée en reboot d'AR par l'Ausgleich 1867 (pattern Philippe). Débouche sur AR exogène composite 1867-1918."
hongrie,1918,Révolution des Chrysanthèmes,1918–1919,République populaire hongroise,1919,République hongroise des Conseils,1919–1920,Contre-révolution de Szeged,1920–1944,Régent revanchard (Horthy),1945,Gouvernement provisoire et IIe République,1990,Élections libres et gouvernement Antall,,,"RN #2 (1918-1990). HONGRIE EN DÉBAT ACTIF. RN complète (7 étapes) mais étirée à ~72 ans par tutelle soviétique ; non avortée (GR 1990). Deux avortements INTERNES à la Restauration : Coup de Budapest 1947-48 et écrasement soviétique 1956 (GR terminale Nagy 1956, saillant distinct, medium confidence). IR Horthy régentiel atypique."
israel,66,Massacre de Florus,66–67,Gouvernement de coalition,67–70,Terreur zélote,,,,,,,,,70,Écrasement — Destruction du Temple (Titus),"RN unique (Grande Révolte 66-70), avortée. Séquence compressée en 4 ans : 3 premières étapes seulement. Écrasée par Rome avant le thermidorien. Choc exogène / effet reboot : régression en phase absolutiste (homogénéité préservée par l'académie de Yavné)."
milan,1848,Cinque Giornate,1848,Governo provvisorio,,,,,,,,,,,1849,Écrasement — Custoza / Novara (Radetzky),"RN unique (1848-1849), avortée. Confidence LOW sur toute la phase. 2 saillants aboutis (Éclatement, Exp. parlementaire) ; « amorce de phase aiguë » non retenue. Avortée par choc exogène autrichien sans destruction des institutions. Absorption italienne (fusion 1848, 1859). Parallèle Venise 1848-49."
naples,1820,Pronunciamento de Nola,1820–1821,Constitution espagnole,,,,,,,,,,,1821,Écrasement — Rieti (Frimont),"RN #1 (1820-1821), avortée, ~1 an. Éclatement précoce sur AR exogène jeune (cadre napoléonien). Interrompue à l'exp. parlementaire : pas de phase aiguë ni thermidorien. Avortée par la Sainte-Alliance (Congrès de Laibach, Rieti 1821). Retour en AR exogène."
naples,1848,Constitution de janvier,1848,Parlement de Naples,,,,,,,,,,,1848–1849,"Écrasement — Coup du 15 mai (Ferdinand II, « Re Bomba »)","RN #2 (1848-1849), avortée, ~1 an. Éclatement sur AR plus mûr. Naples 1re capitale italienne à octroyer une Constitution (29 janvier 1848). Interrompue à l'exp. parlementaire (~1 mois). Avortée par contre-révolution royale (coup du 15 mai 1848). Absorbée par l'Italie garibaldienne (1860)."
sicile,1812,Westminster,1812–1816,Parlement bicaméral,,,,,,,,,,,1816,Écrasement — Fusion en Royaume des Deux-Siciles,"RN #1/3. Ultra-comprimée (~4 ans), FORCÉE de l'extérieur par sponsor britannique (Bentinck), avortée dès le retrait du sponsor (Congrès de Vienne). Seuls Éclatement + Exp. parlementaire. Bascule en AR exogène (dérivation rare)."
sicile,1820,Soulèvement de Palerme,,,,,,,,,,,,,1820–1821,Écrasement — Laibach et Rieti,"RN #2/3. La plus courte (~1 an), greffée sur la révolution carbonara napolitaine. Seul l'Éclatement se déploie ; camp constitutionnaliste divisé (Palerme autonomiste vs Naples). Avortement par la Sainte-Alliance (Congrès de Laibach). Retour en AR exogène durci."
sicile,1848,Révolution de Palerme,1848–1849,Parlement de Settimo,1848–1849,Re Bomba,,,,,,,,,1849,Écrasement — Reconquête Filangieri,"RN #3/3. La plus complète (~16 mois) : Éclatement + Exp. parlementaire (déchéance des Bourbons 13 avril 1848) + Phase aiguë. Première des révolutions de 1848. Phase aiguë atypique (mode défensif, violence subie), donc pas de thermidorien. Avortée par reconquête bourbonienne. Absorption italienne 1860. Confidence medium."
suisse,1798,Invasion française,1798–1802,République helvétique,1802,Stecklikrieg,1803,Acte de Médiation,,,1815,Pacte fédéral,1847,Sonderbund et Constitution,,,"RN unique ABOUTIE (~50 ans, dans la norme) → phase parlementaire dès 1848. 6 des 7 saillants ; SEUL l'IR est absent, justifié (nation trop petite, phase IR absorbée par le protectorat napoléonien / Médiation). Thermidor long (12 ans). RN entièrement républicaine (pas de monarque). Confidence medium."
tchequie,1918,28 octobre 1918,1918–1920,Národní shromáždění,,,,,,,,,1920,Constitution démocratique,1948,Coup de Prague (reboot),"RN #1 (1918-1948). BOHÊME/TCHÉQUIE EN DÉBAT ACTIF. GR atteinte dès 1920 sans IR ni Restauration ENDOGÈNES. ENP 1920-1938 avortée par choc exogène cumulatif (Munich 1938, Protectorat 1939-45). Sous-phase « Restauration (avortée) » exogène 1945-48 sans bloc saillant Restauration (champ vide). Terminée par le Coup de Prague 1948 (reboot en absolutisme exogène soviétique). Confidence medium."
tchequie,1989,Révolution de velours,,,,,,,,,,,1993,Constitution tchèque et ENP,,,"RN #2 (1989-1993) ABOUTIE → phase parlementaire depuis 1993. La plus compressée du corpus (~4 ans) : Éclatement (velours) + GR (Constitution 1993). Exp. parlementaire de transition 1990-92 non retenue comme saillant distinct (champ vide). Divorce de velours 1993 = accélération, pas avortement. BOHÊME/TCHÉQUIE EN DÉBAT ACTIF."
